request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today; the 90-day forecast remains above the required minimum balance.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today; the 90-day forecast remains above the required minimum balance.
request_28,306.67,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 306.67 is safely available today; the full EUR 1302.4 request cannot be completed within the forecast.
request_29,1183.82,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 1183.82 is safely available today; the full ZAR 51524 request cannot be completed within the forecast.
request_30,281.21,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 281.21 is safely available today; the full USD 775.2 request cannot be completed within the forecast.
request_31,2384437.23,affordable_later,wait,2024-11-14:18164000,2024-11-14,none,Wait and pay IDR 18164000 on 2024-11-14; paying sooner would breach the forecast safety buffer.
request_32,19991.44,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 19991.44 is safely available today; the full ZAR 40018 request cannot be completed within the forecast.
request_33,29822.27,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only INR 29822.27 is safely available today; the full INR 118000 request cannot be completed within the forecast.
request_34,115505.81,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 115505.81 is safely available today; the full INR 129400 request cannot be completed within the forecast.
request_35,37736.38,not_affordable,not_recommended,none,2026-01-16,none,Do not proceed. Only INR 37736.38 is safely available today; the full INR 212000 request cannot be completed within the forecast.
request_36,436.48,not_affordable,not_recommended,none,2026-09-16,none,Do not proceed. Only USD 436.48 is safely available today; the full USD 3954 request cannot be completed within the forecast.
request_37,11559728.1,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 11559728.1 is safely available today; the full IDR 14649000 request cannot be completed within the forecast.
request_38,170.91,not_affordable,not_recommended,none,2025-10-16,none,Do not proceed. Only EUR 170.91 is safely available today; the full EUR 971.3 request cannot be completed within the forecast.
request_39,127590.64,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 127590.64 is safely available today; the full INR 208600 request cannot be completed within the forecast.
request_40,884.82,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 884.82 is safely available today; the full EUR 1290.3 request cannot be completed within the forecast.
request_41,24205982.07,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 24205982.07 is safely available today; the full IDR 38760000 request cannot be completed within the forecast.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,,none,Pay INR 52100 today; the 90-day forecast remains above the required minimum balance.
request_43,9830228.11,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,Wait and pay IDR 43339000 on 2024-11-13; paying sooner would breach the forecast safety buffer.
request_44,59707.32,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 59707.32 is safely available today; the full INR 95800 request cannot be completed within the forecast.
request_45,3465168.11,not_affordable,not_recommended,none,2026-09-16,none,Do not proceed. Only IDR 3465168.11 is safely available today; the full IDR 21983000 request cannot be completed within the forecast.
request_46,35243.23,affordable_with_plan,partial_payment,2024-12-03:35243.23|2024-12-15:14206.77,2024-12-15,none,Pay INR 35243.23 today and the remaining INR 14206.77 on 2024-12-15; the full request completes safely by the deadline.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today; the 90-day forecast remains above the required minimum balance.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,,none,Pay INR 45700 today; the 90-day forecast remains above the required minimum balance.
request_49,11218422.57,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,Use the selected installment schedule for the full IDR 34333000 request; the forecast remains above the minimum balance.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,,none,Pay INR 43900 today; the 90-day forecast remains above the required minimum balance.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today; the 90-day forecast remains above the required minimum balance.
request_52,19070.62,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait and pay INR 28870 on 2024-06-15; paying sooner would breach the forecast safety buffer.
request_53,562.93,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,Use the selected installment schedule for the full USD 1699.2 request; the forecast remains above the minimum balance.
request_54,2181.49,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 2181.49 is safely available today; the full ZAR 121528 request cannot be completed within the forecast.
request_55,129274.81,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-16,none,Use the selected installment schedule for the full INR 218600 request; the forecast remains above the minimum balance.
request_56,881.56,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 881.56 is safely available today; the full USD 881.56 request cannot be completed within the forecast.
request_57,12885.38,not_affordable,not_recommended,none,2026-06-16,none,Do not proceed. Only ZAR 12885.38 is safely available today; the full ZAR 61446 request cannot be completed within the forecast.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,,none,Pay IDR 16226000 today; the 90-day forecast remains above the required minimum balance.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use the selected installment schedule for the full INR 140600 request; the forecast remains above the minimum balance.
request_60,135.09,not_affordable,not_recommended,none,2026-03-18,none,Do not proceed. Only USD 135.09 is safely available today; the full USD 199.89 request cannot be completed within the forecast.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use the selected installment schedule for the full ZAR 29062 request; the forecast remains above the minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today; the 90-day forecast remains above the required minimum balance.
request_63,61537.54,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 61537.54 is safely available today; the full INR 343900 request cannot be completed within the forecast.
request_64,36873.07,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 36873.07 is safely available today; the full INR 63700 request cannot be completed within the forecast.
request_65,12634.05,not_affordable,not_recommended,none,,none,Do not proceed. Only ZAR 12634.05 is safely available today; the full ZAR 54340 request cannot be completed within the forecast.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today; the 90-day forecast remains above the required minimum balance.
request_67,291.79,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Wait and pay USD 2094 on 2024-10-15; paying sooner would breach the forecast safety buffer.
request_68,1331.46,not_affordable,not_recommended,none,2025-03-24,none,Do not proceed. Only USD 1331.46 is safely available today; the full USD 2091.6 request cannot be completed within the forecast.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today; the 90-day forecast remains above the required minimum balance.
request_70,50291.58,not_affordable,not_recommended,none,2025-02-16,none,Do not proceed. Only INR 50291.58 is safely available today; the full INR 243900 request cannot be completed within the forecast.
request_71,7287866.87,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 7287866.87 is safely available today; the full IDR 21451000 request cannot be completed within the forecast.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,,none,Pay ZAR 11330 today; the 90-day forecast remains above the required minimum balance.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today; the 90-day forecast remains above the required minimum balance.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today; the 90-day forecast remains above the required minimum balance.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use the selected installment schedule for the full ZAR 28270 request; the forecast remains above the minimum balance.
request_76,1055.26,not_affordable,not_recommended,none,,none,Do not proceed. Only USD 1055.26 is safely available today; the full USD 4455.6 request cannot be completed within the forecast.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today; the 90-day forecast remains above the required minimum balance.
request_78,46807.53,not_affordable,not_recommended,none,2025-10-16,none,Do not proceed. Only INR 46807.53 is safely available today; the full INR 50200 request cannot be completed within the forecast.
request_79,698.73,not_affordable,not_recommended,none,,none,Do not proceed. Only EUR 698.73 is safely available today; the full EUR 2151.6 request cannot be completed within the forecast.
request_80,153693.85,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 153693.85 is safely available today; the full INR 217500 request cannot be completed within the forecast.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today; the 90-day forecast remains above the required minimum balance.
request_82,268.91,not_affordable,not_recommended,none,2025-02-21,none,Do not proceed. Only USD 268.91 is safely available today; the full USD 1405.2 request cannot be completed within the forecast.
request_83,30582.64,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 30582.64 is safely available today; the full INR 156200 request cannot be completed within the forecast.
request_84,36456.5,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 36456.5 is safely available today; the full INR 95400 request cannot be completed within the forecast.
request_85,419490.35,not_affordable,not_recommended,none,,none,Do not proceed. Only IDR 419490.35 is safely available today; the full IDR 19304000 request cannot be completed within the forecast.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today; the 90-day forecast remains above the required minimum balance.
request_87,89985.14,not_affordable,not_recommended,none,,none,Do not proceed. Only INR 89985.14 is safely available today; the full INR 487900 request cannot be completed within the forecast.
request_88,10701.68,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-16,none,Use the selected installment schedule for the full ZAR 26092 request; the forecast remains above the minimum balance.
request_89,9302193.2,not_affordable,not_recommended,none,2026-01-14,none,Do not proceed. Only IDR 9302193.2 is safely available today; the full IDR 13756000 request cannot be completed within the forecast.
